20210604|||||||
|Contas|||Valor (R$ Bilhões)|||
Estado|HOMENS|MULHERES|TOTAL|HOMENS|MULHERES|TOTAL|%
SP|1024076|408558|1432634|200.29|53.71|254.00|47.64
RJ|276011|111167|387178|58.02|20.29|78.31|14.69
MG|272111|100437|372548|42.72|7.38|50.11|9.40
RS|157018|53588|210606|21.83|6.68|28.51|5.35
PR|175471|61889|237360|20.97|5.03|26.00|4.88
SC|137005|46028|183033|15.23|4.11|19.34|3.63
DF|87148|37219|124367|10.74|2.51|13.25|2.48
BA|88646|34356|123002|9.01|2.24|11.25|2.11
CE|54477|19249|73726|6.76|1.36|8.13|1.52
ES|56728|19850|76578|5.81|1.15|6.96|1.31
PE|62686|22887|85573|5.45|1.49|6.93|1.30
GO|66304|24601|90905|5.10|1.53|6.63|1.24
MA|21149|7747|28896|3.64|1.69|5.33|1.00
MS|26542|9275|35817|2.35|0.35|2.70|0.51
MT|30115|10967|41082|2.09|0.43|2.51|0.47
PA|29603|11614|41217|2.00|0.43|2.43|0.46
RN|24961|8283|33244|1.78|0.37|2.15|0.40
PB|24376|8537|32913|1.51|0.36|1.87|0.35
AM|19148|7518|26666|1.34|0.30|1.64|0.31
SE|15043|5285|20328|0.97|0.21|1.19|0.22
AL|15391|5306|20697|0.93|0.18|1.11|0.21
PI|12992|4687|17679|0.76|0.15|0.91|0.17
RO|11962|4627|16589|0.62|0.18|0.80|0.15
TO|8415|3232|11647|0.39|0.08|0.47|0.09
AC|3725|1482|5207|0.20|0.04|0.24|0.05
AP|2976|1230|4206|0.20|0.03|0.23|0.04
RR|3252|1253|4505|0.16|0.03|0.19|0.03
TOTAL|2707331|1030872|3738203|420.87|112.31|533.19|
